 HYMN TITLE,Text,LSB#,TLH#,LW#,LBW#,ELH#,CW#,WOV#,HS'98#
God Be With You till We Meet Again,,,,,,,327,,
God Bless Our Native Land,Rom 13:1-7,965,577,497,569,602,619,,
God Brought Me to this Time and Place,1 Sam 7:12,,33,456,,71,,,
God has Spoken by His Prophets,Heb 1:1-3,583,,343,238,,281,,
God Himself is Present,Ex 15:11-13,907,4,206,249,,224,,
God Is Here As We His People,,,,,,,532,,
God Lord of Sabaoth Thou Who Ordainest,Ps 122:6,,582,,,,,,
God Loved the World So that He Gave,John 3:16,571,245,352,292,403,391,,
God Loves Me Dearly,1 John 4:9-10,392,,,,175,,,
God Moves in a Mysterious Way,Rom 11:33,765,514,426,483,434,420,,
God My Lord My Strength My Place of Hiding,,,,,484,204,450,,
God of Grace and God of Glory,Ps 80:14-19,850,,398,415,,523,,
God of Love and God of Marriage,,,,,,,602,,
God of Mercy God of Grace,Ps 67,,20,,,582,249,,
God of My Life to Thee I Call,Ps 46,,534,,,,,,
God of Our Fathers Whose Almighty Hand,Ps 44:1-8,,,501,567,,,,
God of Our Life All Glorious Lord,,,,,270,,,,
"God of the Prophets, Bless the Prophets' Sons",2 Kings 2:1-15,682,483,258,,501,543,,
God Rest You Merry Gentlemen,,,,,,126,,,
God Save Our Gracious Queen,,,,,568,,,,
God the Father Be Our Stay,Ps 18:18,505,247,170,308,18,192,,
God the Father Son and Spirit,"Is 54:2, 3",,640,,,,623,,
God the Omnipotent King Who Ordainest,,,,,462,,,,
God Was There on Calvary,,,,,,,140,,
God We Praise You,,,,,,42,277,,
God Who Madest Earth and Heaven,Ps 7:17,877,549,492,266,77,590,,
God Who Stretched the Spangled Heavens,,,,,463,,,,
God Whose Giving Knows No Ending,,,,,408,,,,
"God, Who Made the Earth and Heaven",Ps 121,877,549,492,281,77,590,,
"God, Whose Almighty Word",Gen 1:3-5,979,508,317,400,202,,,
God's Own Child I Gladly Say It,,,,,,246,,,
"God's Own Child, I Gladly Say It",Romans 6:1-10,594,,,,,,,844
God's Own Son Most Holy,Luke 4:18,333,74,30,312,141,17,,
God's Word Is Our Great Heritage,"Ps 119:105, 111",582,283,333,239,583,293,,
Good Christian Friends Rejoice,Luke 2:1-14,386,92,47,55,135,34,,
"Good Christian Friends, Rejoice and Sing",Ps 118:24,475,,129,144,,,,
Good News of God Above,,,,,,,568,,
Grace Has a Thrilling Sound,Eph 2:5,,374,,,,381,,
Grace 'Tis a Charming Sound,Eph 2:5,,374,,,,381,,
"Gracious God, Again is Ended",Ps 121:1,,560,,,,,,
"Gracious God, You Send Great Blessings",Lam 3:22-23,782,,,,,,,
Gracious Savior Gentle Shepherd,Mark 10:14,,627,475,,367,508,,
"Gracious Savior, Grant Your Blessing",Eph 5:22-33,860,,,,,,,
Grant Holy Ghost that We Behold,Ps 19:7,693,293,336,,25,185,,
Grant Lord Jesus that My Healing,Is 53:4-5,421,,95,,,,,
"Grant Peace, We Pray, in Mercy, Lord",2 Thess 3:16,777-778,,219,471,584,522,,
Great God a Blessing From Your Throne,,,,,185,,,,
Great God Our Source and Lord of Space,,,,,466,,,,
Great God We Praise Thy Gracious Care,,,,,,600,,,
Great God We Sing That Mighty Hand,Ps 92:1,,119,,,,,,
Great God What do I See and Hear?,"1 Thess 4:16, 17",,604,,,,208,,
Great Is the Lord Our God,Ps 48:1-8,,636,,,,,,
Great Is Thy Faithfulness,Lam 3:22-24,809,,,,,,771,899
Great King of Nations Hear Our Prayer,Ps 65:2,,583,,,,,,
Greet Now the Swiftly Changing Year,Ps 65:11,896,,183,181,,,,837
Greet the Rising Sun,Ps 4:1-3,871,,,,,,,902
Guide Me Ever Great Redeemer,Ex 13:21,918,54,220,343,262,331,,
Guide Me O Thou Great Jehovah,Ex 13:21,918,54,220,343,262,331,,
"Guide Me, O Thou Great Redeemer",Ex 15:13,918,54,220,343,262,331,,
Hail O Once Despised Jesus,Rev 4:11,531,367,284,,270,351,,
Hail O Once Rejected Jesus,Rev 4:11,531,367,284,,270,351,,
Hail the Day So Rich in Grace,Is 9:6,,78,,,131,,,
Hail the Day that Sees Him Rise,Acts 1:9,,213,,,388,175,,
Hail Thee Festival Day,Acts 1:9,,,148,,,,,
Hail Thee Festival Day,Acts 1:9-11,,,159,,,,,
"Hail Thee, Festival Day",Ps 118:13-24,489,,125,142,398,179,,
Hail Thou Source of Every Blessing,Matt 2:11,409,129,84,,,87,,
Hail to the Lord's Anointed,Ps 72:1-17,398,59,82,87,103,93,,
"Hail, O Source of Every Blessing",Is 60:3-6,409,129,84,,,87,,
"Hail, Thou Once Despised Jesus",Is 53,531,367,284,,270,351,,
Hallelujah Jesus Lives,John 20:15,,188,,147,,,,
Hallelujah Let Praises Ring,Rev 19:1,822,,437,,,,,
Hark the Church Proclaims Her Honor,Eph 1:4,,461,,,,530,,
Hark the Glad Sound The Savior Comes,Luke 4:18,349,66,29,35,109,12,,
Hark the Sound of Holy Voices,"Rev 7:9, 10",,471,,,,,,
Hark the Voice of Jesus Calling,Is 6:8,827,496,318,381,191,573,,
Hark the Voice of Jesus Crying,Is 6:8,826,496,318,381,191,573,,
Hark What Mean Those Holy Voices,Luke 2:14,,83,,,,,,
Hark! A Thrilling Voice is Sounding,Luke 1:76-79,345,60,18,37,96,15,,
Hark! Ten Thousand Harps and Voices,Heb 1:6,,221,,,,,,
Hark! the Herald Angels Sing,Luke 2:13-14,380,94,49,60,125,61,,
"Have No Fear, Little Flock",Luke 12:32,735,,410,476,,442,,
He is Arisen! Glorious Word,1 Cor 15:3-8,488,189,520,138,348,162,,
He Leadeth Me O Blessed Thought,,,,,501,,,,
He Stood Before the Court,,,,,,,115,,
He that Believes and is Baptized,Mark 16:16,601,301,225,194,241,299,,
He Whom Shepherds Once Came Praising,Luke 2:7-20,,,54,68,,,,
Hear Us Now Our God and Father,,,,,288,188,603,,
"Hear Us, Father, When We Pray",Matt 6:9-13,773,,,,,,,
Heavenly Father Hear Our Prayer,,,,,289,,,,
Heavenly Hosts in Ceaseless Worship,Rev 4:1-11,949,,,,,,,
Help Us O Lord Behold We Enter,Heb 13:8,,120,,,,70,,
Help Us O Lord for Now We Enter,Heb 13:8,,120,,,,70,,
"Herald, Sound the Note of Judgment",Matt 3:1-12,511,,,556,,,,
Here in Thy Name Eternal God,2 Chron 6:20,,635,,,,,,
Here is the Tenfold Sure Command,Ex 20:1-17,,287,331,,490,285,,
Here O Lord I See You Face to Face,Matt 26:26-28,631,,243,211,,315,,
Here O My Lord I See You Face to Face,Matt 26:26-28,631,,243,211,,315,,
"Here, O My Lord, I See Thee Face To Face","John 6:35, 51, 58",631,,243,211,,315,,
"He's Risen, He's Risen",1 Cor 15:54-57,480,198,138,,350,143,,
His Battle Ended There,,,,,,,146,,
Holy Father in Thy Mercy,Gen 31:49,,643,469,,576,504,,
Holy Father in Your Mercy,Gen 31:49,,643,469,,576,504,,
Holy Ghost Dispel Our Sadness,,,,,,20,,,
Holy Ghost with Light Divine,1 Thess 5:23,496,234,166,,402,278,,
Holy God We Praise Your Name,Luke 2:14,940,250,171,535,43,195,,
"Holy God, We Praise Thy Name",Rev 7:9-14,940,250,171,535,43,278,,
Holy Majesty Before You,,,,,247,,,,
Holy Spirit God of Love,John 15:26,,230,,,,180,,
Holy Spirit Hear Us,1 Cor 12:7-9,,229,,,,,,
Holy Spirit Light Divine,John 16:13,496,234,166,257,,183,,
Holy Spirit Truth Divine,1 Thess 5:23,496,234,166,257,,183,,
"Holy Spirit, Ever Dwelling",1 Cor 2:14-16,650,,164,523,,182,,
"Holy Spirit, Gift of God",1 Cor 12:3,,,,,,,,835
"Holy Spirit, the Dove Sent from Heaven",Matt 3:16-17,502,,,,,,,
"Holy, Holy, Holy",Is 6:2-3,507,246,168,165,15,,,
"Holy, holy, holy Lord, God",,,,,,,,,p.11
Hope of the World,1 Tim 1:1 ,690,,377,493,,,,
Hosanna Now Through Advent,Mark 13:26-27,,,16,,,,,
Hosanna to the Coming Lord,Matt 21:9,,70,,258,,21,,
Hosanna to the Living Lord,Matt 21:9,,70,,258,,21,,
"Hosanna, Loud Hosanna",Matt 21:15,443,161,106,,279,130,,
How Beauteous Are Their Feet,Is 52:7,,487,,,192,,,
How Blessed is the Little Flock,,,,,,585,,,
How Blessed is this Place O Lord,Gen 28:16-18,,,327,186,,,,
How Blest Are They,,,,,,,607,,
How Blest Are They Who Hear God's Word,Is 61:3,,48,222,227,586,325,,
How Can I Thank Thee Lord,Ps 50:14,703,417,385,,423,460,,
"How Can I Thank You, Lord",Col 1:12-14,703,417,385,,423,460,,
"How Clear Is Our Vocation, Lord",Luke 5:1-11,853,,,,,,,879
How Fair the Church of Christ Shall Stand,,,,,,418,,,
How Firm a Foundation O Saints of the Lord,Is 28:16; 41:10; 43:1-7,728,427,411,507,521,416,,
How Firm a Foundation Ye Saints of the Lord,Is 28:16; 41:10; 43:1-7,728,427,411,507,521,416,,
How Good Lord to be Here,Matt 17:1-8,414,135,89,89,,95,,
How Great Thou Art,Rev 15:3b-4,801,,519,532,,256,,
How Lovely Shines the Morning Star,Rev 22:16,395,343,,76,167,,,
How Lovely Shines the Morning Star,"Lam 3:22, 23",,546,,,167,79,,
How Majestic Is Your Name,"Ps 8:1, 9",978,,,,,,,
How Marvelous God's Greatness,,,,,515,,,,
How Precious Is the Book Divine,Ps 119:105,,285,332,,232,284,,
How Rich at Eastertide,,,,,,349,,,
How Shall the Young Secure Their Hearts ,Ps 119:9,,286,474,,176,509,,
How Shall They Hear the Word of God,Romans 10:14-15,831,,,,,,,868
How Shall They Hear the Word of God,,,,,,,575,,
How Sweet the Name of Jesus Sounds,Song Solomon 1:3,524,364,279,345,155,358,,
How Wide the Love of Christ,Eph 3:17b-18,535,,,,,,,
I Am Alone Your God and Lord,,,,,,488,,,
I Am Content My Jesus Lives Againl,John 11:25-26,468,196,145,,,158,,
I Am Content My Jesus Liveth Still,John 11:25-26,468,196,145,,,158,,
I am Content! My Jesus Ever Lives,John 11:25-26,468,196,145,,,158,,
I Am Jesus' Little Lamb,John 21:15,740,648,517,,177,432,,
I Am So Glad Each Christmas Eve,Luke 2:4-7,,,56,69,127,51,,
I am so Glad When Christmas Comes,Luke 2:4-7,,,56,69,127,51,,
I Am Trusting Thee Lord Jesus,Is 12:2,729,428,408,460,206,446,,
I Am Trusting You Lord Jesus,Acts 2:38,729,428,408,460,206,446,,
I Bind Unto Myself Today,1 Peter 1:1-9,604,,172,188,,,,
I Come O Savior to Your Table,1 Cor 11:23-29,618,315,242,213,313,310,,
I Come to Thee O Blessed Lord,John 6:37,,330,,,495,,,
"I Come, O Savior, to Thy Table",1 Cor 11:23-29,618,315,242,213,313,310,,
I do Not Come Because My Soul,Rom 7:19-25,,379,,,,,,
I Fall Asleep in Jesus' Wounds,Luke 2:29,,585,,,530,608,,
I Gave My Life for Thee,Phil 1:27,,405,,,,454,,
I Hear the Savior Calling,,,,,,,560,,
I Heard the Voice of Jesus Say,John 6:35,699,277,348,497,,338,,
I Know My Faith is Founded,2 Tim 1:12,587,381,354,,494,403,,
I Know of a Sleep in Jesus' Name,Rev 14:13,,592,,342,525,211,,
I Know that My Redeemer,,,,,,373,,,
I Know that My Redeemer Lives,Job 19:25-27,461,200,264,352,351,152,,
I Know Thee Savior God Thou Art,,,,,,307,,,
I Lay My Sins on Jesus,1 John 1:7,606,652,366,305,239,372,,
I Leave All Things to God's Direction,Rom 8:28,719,529,429,,,414,,
"I Lie, O Lord, within Your Care",Ps 121,885,,,,,,,
I Love as You Have Promised Lord,Luke 2:29-32,938,137,185,349,48,269,,
I Love Thy Kingdom Lord,Ps 137,651,462,296,368,,533,,
I Love to Tell the Story,,,,,390,,562,,
"I Love Your Kingdom, Lord",Ps 26:8,651,462,296,368,,533,,
I Pray Thee Dear Lord Jesus,1 John 3:23,,655,476,,178,510,,
I Pray You Dear Lord Jesus,1 John 3:23,,655,476,,178,510,,
I See Thee Standing Lamb of God,,,,,,70,,,
I Sing the Birth Was Born Tonight,,,,,,130,,,
I Stand Beside Thy Manger Here,,,,,,129,,,
"I Trust, O Christ, in You Alone",Acts 4:12,972,319,357,395,415,437,,
"I Trust, O Lord, Your Holy Name",Ps 31:1-5,734,524,406,,,448,,
I Walk in Danger All the Way,1 Pet 5:8-9,716,413,391,,252,431,,
I Want to Walk as a Child of the Light,2 Cor 4:4-6,411,,,,,,649,
I Will Greatly Rejoice in the Lord,Is 61:10-11,929,,,,,,,
I Will Sing My Father's Praises,"Eph 5:19,20",977,25,439,,448,253,,
I Will Sing My Maker's Praises,Ps 103,977,25,439,,448,253,,
I Would Not Live Alway I Ask Not to Stay,Job 7:16,,588,,,,,,
If Christ Had Not Been Raised From Death,1 Cor 15:12-26,486,,,,,,,
If God Had Not Been on Our Side,Ps 124,,267,,,396,202,,
If God Himself Be For Me,Rom 8:31-39,724,528,407,454,517,419,,
If Thou But Suffer God to Guide Thee,Ps 55:22,750,518,420,453,205,444,,
If Thou But Trust in God to Guide Thee,Ps 55:22,750,518,420,453,205,444,,
If Thy Beloved Son O God,Gal 2:16,,375,,,374,393,,
If You but Trust in God to Guide You,Ps 55:22,750,518,420,453,205,444,,
"If Your Beloved Son, O God",Gal 2:16,568,375,,,374,393,,
I'm But a Stranger Here,Heb 11:13-16,748,660,515,,474,417,,
"Immortal, Invisible, God Only Wise","Ps 104:1-5, 31-35",802,,451,526,,240,,
In a Lowly Manger Born,,,,,417,,,,
In Adam We Have All Been One,"Rom 5:14, 17-19",569,,292,372,431,396,,
In All Our Grief,Eph 4:25-32,,,,,,,,847
In Christ There is No East or West,Gal 3:26-29,653,,,359,,539,,
"In God, My Faithful God",Ps 25,745,526,421,,467,438,,
In Heaven Above In Heaven Above,,,,,330,542,,,
In Heaven Is Joy and Gladness,,,,,,482,,,
In His Temple Now Behold Him,Luke 2:22-38,519,139,186,184,,77,,
In Holy Conversation,Ps 50:15,772,,,,,,,
In Hope My Soul Redeemed to Bliss Unending,Rom 5:5,,432,,,,,,
In House and Home Where Man and Wife,Ps 128,,624,,,189,,,
In Jesus I Find My Rest and Peace,,,,,,437,,,
In Jesus Name,,,,,,4,,,
In Loud Exalted Strains,Gen 28:17,,638,,,,,,
In One True God We All Believe,Apostle's Creed,,253,,,,,,
In Peace and Joy I Now Depart,Luke 2:29-32,938,137,185,349,48,269,,
In Silent Pain the Eternal Son,Matt 10:34-39,432,,,,,,,824
In the Cross of Christ I Glory,Gal 6:14,427,354,101,104,523,345,,
In the Hour of Trial,"Luke 22:31, 32",,516,511,106,,116,,
In the Midst of Earthly Life,1 Sam 20:3,755,590,265,350,527,534,,
In the Name which Earth and Heaven,2 Chron 6:20,,632,,,,,,
In the Quiet Consecration,,,,,223,,,,
In the Resurrection,"Job 19, 25-27",,603,,,,,,
In the Shattered Bliss of Eden,Gen 3:1-24,572,,,,,,,
In the Very Midst of Life,Rom 14:7-8,755,590,265,350,527,534,,
In Thee Alone O Christ My Lord,Rom 3:25,972,319,357,395,415,437,,
In Thee is Gladness,John 16:20-22,818,,442,552,149,346,,
In Thee Lord have I Put My Trust,Ps 31:1-5,734,524,406,,524,448,,
In This Our Happy Christmastide,,,,,,150,,,
In Trembling Hands Lord God We Hold,,,,,,,199,,
In Vain Would Boasting Reason Find,,,,,,254,,,
In You is Gladness,1 Pet 1:6-9,818,,442,552,149,346,,
In You Lord I have Put My Trust,Ps 31:1-5,734,524,406,,524,448,,
In You O Lord I Put My Trust,Ps 31:1-5,734,524,406,,524,448,,
"Infant Holy, Infant Lowly",Luke 2:1-20,393,,,44,,,,812
"Invited, Lord, by Boundless Grace",1 Cor 11:26,,308,,,,,,
Isaiah in a Vision Did of Old,Is 6:1-4,960,249,214,528,40,267,,
Isaiah Mighty Seer in Spirit Soared,Is 6:1-4,960,249,214,528,40,267,,
"Isaiah, Mighty Seer in Days of Old",Is 6:1-4,960,249,214,528,40,267,,
It Came Upon the Midnight Clear,Luke 2:13-14,366,,62,54,,,,
It Happened on that Fateful Night,1 Cor 11: 23ff,,164,,127,,136,,
It Is Not Death to Die,John 11:26,,602,,,,,,
"Jehovah, Let Me Now Adore Thee",John 16:23,,21,446,,,189,,
"Jehovah, Let Me Now Adore You",John 16:23,,21,446,,,189,,
Jerusalem the Golden,Rev 21:18-23,672,613,309,347,534,214,,
Jerusalem Thou City Fair and High,Matt 17:1-9,674,619,306,348,541,212,,
Jerusalem Whose Towers Touch the Skies,Matt 17:1-9,674,619,306,348,541,212,,
"Jerusalem, My Happy Home",Ps 137:1-6,673,618,307,331,539,215,,
"Jerusalem, O City Fair and High",Rev. 21:2-3,674,619,306,348,541,212,,
"Jesu, Jesu, Fill Us with Your Love",John 13:14,980,,,,,,765,
Jesus All Our Ransom Paid,John 19:30,,185,,,,,,
Jesus All Thy Labor Vast,Luke 23:46,,186,,,,,,
Jesus and Shall It Ever Be,Mark 8:38,,346,,,471,347,,
Jesus Brightness of the Father,Ps 91:11,,257,,,547,,,
Jesus Calls Us o'er the Tumult,John 1:40,,270,,494,,463,,
"Jesus Came, the Heavens Adoring",Zech 9:9,353,56,,,89,26,,
Jesus Christ is Risen Today,Luke 24:6-7,457,199,127,151,352,157,,
Jesus Christ My Pride and Glory,Luke 2:41-52,,408,,,,464,,
Jesus Christ Our Blessed Savior,Heb 10:12,627,311,237,,317,,,
Jesus Christ Our Lord Most Holy,Matt 27:50-53,,169,,,285,,,
"Jesus Christ, My Sure Defense",1 Cor 15:34-58,741,206,266,340,532,167,,
"Jesus Christ, Our Blessed Savior",Rom 5:9-10,627,311,236,,316,313,,
Jesus Comes Today with Healing,Matt 26:26-29,620,,,,,,,
Jesus Has Come and Brings Pleasures,Luke 2:68-79,533,,78,,,,,
Jesus I Live to Thee,Rom 14:8,,591,,,,,,
Jesus I My Cross have Taken,Luke 18:28,,423,,,424,465,,
Jesus I Will Never Leave,Luke 9:57,,365,,,362,,,
Jesus in Thy Dying Woes,Luke 23:34,447,180,112,113,,139,,
Jesus in Thy Thirst and Pain,John 19:28,,184,,,,,,
Jesus Jesus Only Jesus,Eph 3:19,,348,,,379,348,,
Jesus Lead Us On,Luke 5:11,718,410,386,341,587,422,,
Jesus Lives! The Victory's Won,"Rom 8:11, 35-39",490,201,139,133,353,145,,
Jesus Lover of My Soul,Is 32:2,,345,508,,209,357,,
Jesus Loves Me,Matt 19:14,588,,,,179,,,
Jesus My Great High Priest,"Heb 9:11, 12",,220,,,289,359,,
Jesus My Truth My Way,John 14:6,,433,,,,,,
Jesus O how Could It be True,Mark 8:38,,,393,,,,,
Jesus on the Mountain Peak,Matt 17:1-8,415,,,,,,653,818
Jesus Pitying the Sighs,Luke 23:43,,181,,,,,,
Jesus Sat With His Disciples,Matt 5:1-12,932,,,,,,,912
Jesus Savior Come to Me,Is 26:9,,356,,,,,,
Jesus Shall Reign,Ps 72:5-11,832,511,312,530,193,84,,
Jesus Shepherd in Your Arms,Matt 18:2,,595,269,,,,,
Jesus Shepherd of the Sheep,,,,,,,436,,
Jesus Sinners Does Receive,Luke 15:2-4,"609, 974",324,229,291,426,304,,
Jesus Sinners Doth Receive,Luke 15:2-4,"609, 974",324,229,291,426,304,,
Jesus Sinners Will Receive,Luke 15:2-4,"609, 974",324,229,291,426,304,,
Jesus Still Lead On,Luke 5:11,718,410,386,341,587,422,,
Jesus Sun of Righteousness,,,,,,84,,,
Jesus Tender Shepherd Hear Me,,,,,,568,,,
Jesus the Very Thought of Thee,Song Solomon 1:3,,350,,316,315,,,
Jesus the Very Thought of You,Song Solomon 1:3,,350,,316,315,,,
Jesus Thou Art Mine Forever,Ps 78:24,,357,,,,,,
Jesus Thou Joy of Loving Hearts,,,,,,318,,,
Jesus Thy Church with Longing Eyes,Rev 1:7,,64,,,,,,
Jesus Whelmed in Fears Unknown,Matt 27:46,,183,,,,,,
Jesus Your Blood and Righteousness,1 John 1:7,563,371,362,302,432,376,,
Jesus Your Boundless Love so True,John 14:15,683,349,280,336,372,479,,857
Jesus Your Boundless Love to Me,John 14:15,683,349,280,336,372,479,,857
Jesus Your Church with Loving Eyes,,,,,,,9,,
Jesus! Name of Wondrous Love,Acts 4:12,900,114,182,,156,76,,
"Jesus, Grant that Balm and Healing",Is 53:4-5,421,144,95,,293,121,,
"Jesus, Greatest at the Table",John 13:1-17,446,,,,,,,
"Jesus, I Will Ponder Now",Is 53:3-6,440,140,109,115,287,98,,
"Jesus, in Your Dying Woes",Luke 23:34,447,180,112,113,,139,,
"Jesus, Lead Thou On",Luke 12:32,718,410,386,341,587,422,,
"Jesus, Loving to the End",John 19:26-27,,182,,,,,,
"Jesus, Name above All Names",Phil 2:8-11,970-970a,,,,,,,
"Jesus, Once with Sinners Numbered",Is 53:12,404,,,,,,,
"Jesus, Priceless Treasure",1 Peter 1:18-19,743,347,270,457,263,349,,
"Jesus, Priceless Treasure",1 Peter 1:18-19,743,347,270,458,264,349,,
"Jesus, Refuge of the Weary",Mark 15:29-30,423,145,90,93,240,108,,
"Jesus, Remember Me",Luke 23:42,767,,,,,,740,827
"Jesus, Savior, Pilot Me",Matt 8:23-27,715,649,513,334,,433,,
"Jesus, Thy Blood and Righteousness",Is 61:10,563,371,362,302,432,376,,
"Jesus, Thy Boundless Love to Me",Eph 3:16-21,683,349,280,336,372,479,,857
Join All the Glorious Names,"Heb 9:11, 12",,220,,,289,359,,
Joy to the World the Lord is Come,Ps 98,387,87,53,39,138,62,,
"Joyful, Joyful We Adore Thee",Ps 5:11,803,,,551,,,,
Jubilate Deo,Ps 100,,666,,,,,,
Judge Eternal Throned in Splendor,Ps 59:16,,576,,418,,,,
"Just as I am, Without One Plea",John 1:29; 6:37,570,388,359,296,319,397,,
King of Glory King of Peace,,,,,,442,,,
"Kyrie! God, Father in Heaven Above",Ps 28:2,942,6,209,168,34,266,,
Kyrie—I,Mark 10:47,943,,,,,,,913
Kyrie—II,Ps 51:1,944,,,,,,,
Lamb of God,John 1:29,550,,,,,,,
Lamb of God Pure and Sinless,John 1:29,434,146,208,111,41,268,,
Lamb Of God We Fall before Thee,Heb 12:2,,358,,,,354,,
Lamb Of God We Fall before You,Heb 12:2,,358,,,,354,,
"Lamb of God, Pure and Holy",John 1:29,434,146,208,111,41,268,,
Lamp of Our Feet Whereby We Trace,Ps 119:105,,291,,,,,,
"Lead Me, Guide Me",Ps 5:8,721,,,,,,,
Lead On O King Eternal,,,,,495,,,,
Let All Mortal Flesh Keep Silence,Acts 1:10-11,621,,241,198,,361,,
Let All the World In Every Corner Sing,,,,,,22,,,
Let All Things Now Living,,,,,557,,260,,
Let All Together Praise Our God,Luke 2:1-20,389,105,44,47,148,41,,
Let Children Hear the Mighty Deeds,Ps 78:5-8,867,629,472,,180,512,,
Let Me Be Thine Forever,Ps 119:10,689,334,257,490,427,596,,
Let Me Be Yours Forever,Rom 6:16,689,334,257,490,427,596,,
Let Our Gladness Banish Sadness,Luke 2:1-16,371,82,,66,,,,
Let Our Gladness Have No End,Rom 5:11; 8:32-33,381,86,69,57,,,,
Let Songs of Praises Fill the Sky,Rom 5:5,,232,,,,,,
Let the Earth Now Praise the Lord,Acts 3:24-26,352,91,33,,165,28,,
Let the Vineyards Be Fruitful,Ps 104:14-15,955,,,"p. 66, 86, 107",,,,
Let the Whole Creation Cry,,,,,242,,,,
Let Thoughtless Thousands Choose the Road,Phil 1:21,,608,,,,466,,
Let Us All with Gladsome Voice,"Luke 2:10-14, 20",390,97,42,,134,64,,
Let Us Break Bread Together on Our Knees,,,,,212,,,,
Let Us Ever Walk with Jesus ,Matt 16:24,685,409,381,487,236,452,,
Let Us With a Gladsome Mind,,,,,521,,,,
Levavi Oculos,Ps 121,,665,,,,,,
Lift Every Voice and Sing,Ex 15:1-21,964,,,562,,,,
Lift High the Cross,John 12:32,837,,311,377,194,579,,
Lift Up Your Heads You Mighty Gates,Ps 24:7-10,340-341,73,24,32,91 & 92,3 & 4,,
"Lift Up Your Heads, O Gates",Ps 24:7-10,,,,,,,,804
"Lift Up Your Heads, Ye Mighty Gates",Ps 24:7-10,340-341,73,23,32,91 & 92,3 & 4,,
"Lift Up Your Heads, You Everlasting Doors",Ps 24:3-10,339,,,,,,,
"Light of Light, O Sole-Begotten",John 1:1-17,914,,,,,,,
Light of the Minds that Know Him,,,,,,425,,,
Like the Golden Sun Ascending,Acts 2:32,548,207,,,354,147,,
"Listen, God Is Calling",2 Thess 2:14,833,,,,,,712,872
Lo God to Heaven Ascendeth,Ps 47:5-7,,214,,,391,,,
Lo How a Rose is Growing,Is 11:1-2,359,645,67,58,121,47,,
Lo Judah's Lion Wins the Strife,Rev 5:5,,211,146,,,,,
Lo Many Shall Come from the East and the West,"Matt 8:11, 12",510,415,464,313,200,,,
Lo! He Comes with Clouds Descending,Rev 1:7,336,,15,27,98,29,,802
"Lo, How a Rose e're Blooming",Is 11:1-2,359,645,67,58,121,47,,
Long Before the World Is Waking,John 21:1-17,485,,,,,,,832
Look from Thy Sphere of Endless Day,Is 35,,499,,402,,,,
Look from Your Sphere of Endless Day,Is 35,,499,,402,,,,
Look Now He Stands Stones Could Not Hold Him Down,,,,,152,,,,
Look O Look the Sight is Glorious,,495,222,,156,390,,,
Look Oh Look the Sight is Glorious,,495,222,,156,390,,,
Look Toward the Mountain of the Lord,Ex 19:16,,,310,,,,,
Look Toward the Mountain of the Lord,Heb 12:18-24,,,310,,,,,
"Look, Ye Saints, the Sight Is Glorious",Phil 2:9-11,495,222,,156,,216,,
Lord as a Pilgrim Through Life I Go,,,,,485,,,,
Lord as Thou Wilt Deal Thou with Me,Ps 40:8,,406,,,219,,,
Lord Christ When You First Came to Earth,,,,,421,,,,
Lord Dismiss Us with Thy Blessing,Num 6:24-26,924,50,218,259,588,329,,
Lord God the Holy Ghost,,,,,162,,,,
Lord God to You We All Give Praise,Heb 1:14,522,254,189,,545,196,,
Lord God We All to Thee Give Praise,Heb 1:14,522,254,189,,545,196,,
Lord God Who Art My Father Dear,,,,,,386,,,
"Lord God, to Thee We Give All Praise",Matt 18:10,522,254,189,,545,196,,
Lord Hear the Voice of My Complaint,,,,,,255,,,
Lord Jesus Christ My Life My Light,Luke 23:33,,148,,,291,,,
Lord Jesus Christ My Savior Blest,Ps 119:170,,353,,,258,362,,
Lord Jesus Christ Thou hast Prepared,1 Cor 11:26,622,306,246,208,,312,,
Lord Jesus Christ Thou Living Bread,John 6:48,625,312,248,,322,,,
Lord Jesus Christ True Man and God,,,,,,238,,,
Lord Jesus Christ Will You not Stay,Luke 24:29,585,292,344,,511,541,,
Lord Jesus Christ You Have Bestowed,,,,,,320,,,
Lord Jesus Christ You Set Us Free,Heb 13:15,,173,,,,123,,
"Lord Jesus Christ, Be Present Now",Ps 43:3-4,902,3,201,253,23,230,,
"Lord Jesus Christ, Life-Giving Bread","John 6:33-35, 48-51",625,312,248,,322,,,
"Lord Jesus Christ, the Children's Friend",Ps 78:1-8,866,,470,,,513,,
"Lord Jesus Christ, the Church's Head",Eph 2:19-21,647,477,293,,212,536,,
"Lord Jesus Christ, We Humbly Pray",1 Cor 10:16-17,623,314,250,225,311,,,
"Lord Jesus Christ, with Us Abide",Luke 24:29,585,292,344,,511,541,,
"Lord Jesus Christ, You Have Prepared",1 Cor 11:23-28,622,306,246,208,,312,,
Lord Jesus Thou art Going Forth,John 19:16-17,,150,,,,,,
Lord Jesus Thou the Church's Head,Col 2:10,647,477,293,,212,536,,
Lord Jesus Though but Two or Three,,,,,,5,,,
Lord Jesus We Give Thanks to Thee,Heb 13:15,,173,,,,123,,
Lord Jesus Who art Come,1 Cor 4:1,,485,,,503,,,
Lord Jesus You are Going Forth,,,,,,,126,,
Lord Jesus You Have Come,,,,,,,546,,
"Lord Jesus, Think on Me ",Ps 51:6-12,610,320,231,309,496,,,
